foodmenuname,foodcategoryId,foodingredientId,salesprice,vatId,description,vegitem,beverage,bar,photo
ZINGER BURGER,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",15,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
DYNAMITE SHRIMP BURGER,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",16,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
FRENCH FRIES,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",10,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
FRIES WITH SAUCE,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",15,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
CHICKEN NUGGETS,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",15,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
DYNAMITE CHICKEN,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",16,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
DYNAMATE SHRIMP,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",18,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
FRIES WITH BEEF,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",18,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
POROTA,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",1,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
WEAT POROTA,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",1.5,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
COIN POROTA (2 PCS),6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",3,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
CHAPATI,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",1,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
APPAM,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",1,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
IDIYAPPAM,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",1,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
DOSA,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",1,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
PUTTU,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",1,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
WEAT PUTTU,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",1.5,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
RUMALI ROTI,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",3,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
EGG CURRY,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",5,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
EGG ROAST (2 EGG),6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",7,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
MIX VEG KURMA,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",7,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
FISH CURRY,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",10,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
FISH CURRY MATHI,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",7,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
FISH FRY,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",8,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
FISH FRY MATHI,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",5,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
CHICKEN CURRY,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",10,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
CHICKEN ROAST,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",11,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
CHICKEN KURUMA,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",11,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
CHICKEN CHUKKA,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",14,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
CHICKEN 65 FRY (KABAB),6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",10,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
CHICKEN DRY FRY (BONELESS),6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",12,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
BEEF CURRY,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",11,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
BEEF ROAST,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",12,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
BEEF FRY,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",13,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
KAPPA,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",8,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
KAPPA CHICKEN,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",12,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
KAPPA BEEF,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",14,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
KAPPA BIRIYANI,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",15,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
EGG KOTHU POROTA,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",10,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
CHICKEN KOTHU PORATA,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",12,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
BEEF KOTHU PORATA,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",13,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
MOTTA SET,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",10,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
BARI SET,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",10,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
CHICKEN BIRIYANI,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",15,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
CHICKEN KUSHKA BABAB BIRIYANI,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",17,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
MUTTON BIRIYANI,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",19,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
CHICKEN 65 BIRIYANI,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",20,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
KUSHKA (BIRIYANI RICE),6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",9,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
STEAM RICE,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",6,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
GHEE RICE,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",8,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
LEMON RICE,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",9,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
TOMATO RICE,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",9,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
CURD RICE,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",9,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
JEERA RICE,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",9,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
GARLIC RICE,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",9,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
VEG PULAV,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",9,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
GOBI RICE,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",10,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
MUSHROOM RICE,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",11,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
PANEER RICE,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",11,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
DAL FRY,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",12,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
DAL PALAK,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",12,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
DAL TADKA,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",13,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
DAL KOLHAPURI,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",13,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
ALOO PALAK,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",12,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
GOPI MASALA,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",12,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
VEG KOLHAPURI,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",14,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
VEG HYDERABADI,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",14,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
MUSHROOM KADAI,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",14,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
MUSHROOM MASALA,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",14,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
PANEER MATAR MASALA,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",14,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
PANEER BUTTER MASALA,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",14,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
PALAK PANEER,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",15,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
BABYCORN MASALA,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",15,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
BABYCORN PEPPER MASALA,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",15,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
BUTTER CHICKEN,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",14,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
CHICKEN PEPPER MASALA,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",14,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
CHICKEN HYDERABADI,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",14,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
CHICKEN RED MASALA,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",14,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
CHICKEN KOLHAPURI,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",14,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
CHICKEN KADAI,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",14,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
CHICKEN MASHROOM MASALA,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",14,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
BEEF MASALA,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",15,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
BEEF KADAI,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",15,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
MUTTON HYDERABADI ,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",16,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
MUTTON KADAI,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",16,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
MUTTON MASALA,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",16,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
FISH MASALA,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",15,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
PRAWNS MASALA,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",16,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
VEG SWEET CORN SOUP,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",7,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
LEMON CORIANDER SOUP,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",7,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
VEG CLEAR SOUP,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",8,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
VEG MANCHOW SOUP,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",8,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
VEG HOT N SOUR SOUP,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",8,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
MUSHROOM SOUP,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",8,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
CHICKEN CLEAR SOUP,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",9,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
CHICKEN MANCHOW SOUP,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",10,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
CHICKEN HOT N SOUR SOUP,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",10,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
CHICKEN LEMON SOUP,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",10,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
CREAMY MUSHROOM CHICKEN SOUP,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",12,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
SEAFOOD SOUP,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",12,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
VEG NOODLES,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",11,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
EGG NOODLES,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",11,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
PANEER NOODLES,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",12,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
MUSHROOM NOODLES,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",12,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
CHICKEN NOODLES,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",14,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
PRAWNS NOODLES,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",15,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
BEEF NOODLES,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",15,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
CHICKEN SCHEZWAN NOODLES,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",15,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
MIXED NOODLES,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",16,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
TRIPLE SCHEZWAN NOODLES,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",22,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
FRIED RICE,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
VEG FRIED RICE,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",10,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
EGG FRIED RICE,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",11,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
CHICKEN FRIED RICE,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",13,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
BEEF FRIED RICE,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",14,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
PRAWNS FRIED RICE,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",14,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
CHICKEN SCHEZWAN FRIED RICE,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",14,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
MIXED FRIED RICE,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",15,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
TRIPLE SCHEZWAN FRIED RICE,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",20,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
GOPI 65,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",12,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
